tarball,package_name,package_version,entropy_average,entropy_std_dev,Sensitive Information Access,System Resources and Network Access,Cryptography and Encoding APIs,Dynamic Code Execution,Package Installation Risk
1337qq-js-1.0.10-1.tgz,1337qq-js,1.0.10,4.777649171715511,0.04021773279573981,0,0,0,0,1
1337qq-js-1.0.10.tgz,1337qq-js,1.0.10,4.777649171715511,0.04021773279573981,0,0,0,0,1
4ff-lib-foundation-12.0.0-1.tgz,4ff-lib-foundation,12.0.0,4.616872222716517,0.1796160521867547,0,0,0,0,1
4ff-lib-foundation-12.0.0.tgz,4ff-lib-foundation,12.0.0,4.616872222716517,0.1796160521867547,0,0,0,0,1
aae-stream-130.0.0-1.tgz,aae-stream,130.0.0,5.081367770699855,0.3624973860784863,2,0,0,0,1
aae-stream-130.0.0.tgz,aae-stream,130.0.0,5.081367770699855,0.3624973860784863,2,0,0,0,1
abchdefntofknacuifnt-50.50.51.tgz,abchdefntofknacuifnt,50.50.51,4.792453556362284,0.15224607613664487,0,1,0,0,1
ac-addon-6.6.6-1.tgz,ac-addon,6.6.6,4.2711967039136,0.05621060946472323,0,1,0,0,1
ac-addon-6.6.6.tgz,ac-addon,6.6.6,4.2711967039136,0.05621060946472323,0,1,0,0,1
acala-launch-59.52.0.tgz,acala-launch,59.52.0,4.729894732519058,0.26409030175241277,0,1,0,0,1
acookie-1.0.0-1.tgz,acookie,1.0.0,4.847859866719294,0.2963687828765993,0,1,1,0,1
acookie-1.0.0.tgz,acookie,1.0.0,4.847859866719294,0.2963687828765993,0,1,1,0,1
acronis-ui-kit-99.9.50.tgz,acronis-ui-kit,99.9.50,4.435580072751892,0.2953366126708357,0,1,0,0,1
activity-iframe-sdk-0.0.0-1.tgz,activity-iframe-sdk,0.0.0,4.3840631618705785,0.41757625056096015,0,1,0,0,1
activity-iframe-sdk-0.0.0.tgz,activity-iframe-sdk,0.0.0,4.3840631618705785,0.41757625056096015,0,1,0,0,1
adv-discord-utility-1.4.1-1.tgz,adv-discord-utility,1.4.1,4.86790226110324,0.2314402500032869,1,1,0,0,0
adv-discord-utility-1.4.1.tgz,adv-discord-utility,1.4.1,4.86790226110324,0.2314402500032869,1,1,0,0,0
aesh-1.1.0-reupload-1.tgz,aesh,1.1.0-reupload,4.889066419298818,0.13632583564349668,1,1,1,1,0
aesh-1.1.0-reupload.tgz,aesh,1.1.0-reupload,4.889066419298818,0.13632583564349668,1,1,1,1,0
airbnb-dev-99.9.9-1.tgz,airbnb-dev,99.9.9,4.886953113537536,0.452160538795388,1,0,0,0,1
airbnb-dev-99.9.9.tgz,airbnb-dev,99.9.9,4.886953113537536,0.452160538795388,1,0,0,0,1
airbnb-i18n-99.9.9-1.tgz,airbnb-i18n,99.9.9,4.8891939909396935,0.4544014161975456,1,0,0,0,1
airbnb-i18n-99.9.9.tgz,airbnb-i18n,99.9.9,4.8891939909396935,0.4544014161975456,1,0,0,0,1
ajax-1.99999999999999.99999999999999-1.tgz,@roku-web-core/ajax,1.99999999999999.99999999999999,4.767929645924988,0.33422865019408105,0,1,0,0,1
ajax-1.99999999999999.99999999999999.tgz,@roku-web-core/ajax,1.99999999999999.99999999999999,4.767929645924988,0.33422865019408105,0,1,0,0,1
ajax-libs-9.0.3-1.tgz,ajax-libs,9.0.3,4.816657299091219,0.24514574770283706,2,2,2,1,0
ajax-libs-9.0.3.tgz,ajax-libs,9.0.3,4.816657299091219,0.24514574770283706,2,2,2,1,0
alba-website-1.0.0-1.tgz,alba-website,1.0.0,4.622673163097719,0.21348282418947667,0,1,0,0,1
alba-website-1.0.0.tgz,alba-website,1.0.0,4.622673163097719,0.21348282418947667,0,1,0,0,1
alerts-1.0.0-1.tgz,@xvideos/alerts,1.0.0,4.587835703859291,0.2866094587221334,0,0,0,0,1
alerts-1.0.0.tgz,@xvideos/alerts,1.0.0,4.587835703859291,0.2866094587221334,0,0,0,0,1
alerts-1.0.1-1.tgz,@xvideos/alerts,1.0.1,4.603100374642115,0.30649045176568146,0,0,1,0,1
alerts-1.0.1.tgz,@xvideos/alerts,1.0.1,4.603100374642115,0.30649045176568146,0,0,1,0,1
alerts-1.0.2-1.tgz,@xvideos/alerts,1.0.2,4.592503588489888,0.2905019707242431,0,0,1,0,1
alerts-1.0.2.tgz,@xvideos/alerts,1.0.2,4.592503588489888,0.2905019707242431,0,0,1,0,1
alerts-93.0.5-1.tgz,@xvideos/alerts,93.0.5,4.592518417909514,0.28349797841503005,0,1,1,0,1
alerts-93.0.5.tgz,@xvideos/alerts,93.0.5,4.592518417909514,0.28349797841503005,0,1,1,0,1
alerts-94.0.1-1.tgz,@pornhub/alerts,94.0.1,4.607714768859711,0.3028892377196155,0,1,1,0,1
alerts-94.0.1.tgz,@pornhub/alerts,94.0.1,4.607714768859711,0.3028892377196155,0,1,1,0,1
anarchy-0.0.10-1.tgz,anarchy,0.0.10,4.704735142091972,0.23903234136605622,0,0,0,0,1
anarchy-0.0.10.tgz,anarchy,0.0.10,4.704735142091972,0.23903234136605622,0,0,0,0,1
anchor-lang-69.69.69-1.tgz,anchor-lang,69.69.69,4.147170952669431,0.0,0,0,0,0,1
anchor-lang-69.69.69.tgz,anchor-lang,69.69.69,4.147170952669431,0.0,0,0,0,0,1
angular-rs-loading-1.0.4-1.tgz,angular-rs-loading,1.0.4,4.747257865298008,0.27652261426274727,0,1,0,0,1
angular-rs-loading-1.0.4.tgz,angular-rs-loading,1.0.4,4.747257865298008,0.27652261426274727,0,1,0,0,1
apollo-components-6.72.3-1.tgz,@nexthink/apollo-components,6.72.3,4.539884421493863,0.5544300370722836,0,1,0,0,0
apollo-components-6.72.3.tgz,@nexthink/apollo-components,6.72.3,4.539884421493863,0.5544300370722836,0,1,0,0,0
apollo-tokens-1.37.0.tgz,@nexthink/apollo-tokens,1.37.0,4.530902119058162,0.5734037996130841,0,1,0,0,0
apollo-widgets-11.13.8.tgz,@nexthink/apollo-widgets,11.13.8,4.607091873481713,0.4627479754723892,0,1,0,0,0
app-auth-10.0.0-alpha.3-1.tgz,@maui-mf/app-auth,10.0.0-alpha.3,4.587140268794835,0.5152699267815576,1,0,0,0,1
app-auth-10.0.0-alpha.3.tgz,@maui-mf/app-auth,10.0.0-alpha.3,4.587140268794835,0.5152699267815576,1,0,0,0,1
arm-webservices-99.10.9-1.tgz,arm-webservices,99.10.9,4.883439183977572,0.32123263471814445,0,1,1,0,1
arm-webservices-99.10.9.tgz,arm-webservices,99.10.9,4.883439183977572,0.32123263471814445,0,1,1,0,1
asana-api-explorer-1.5.8-1.tgz,asana-api-explorer,1.5.8,4.71407061304772,0.24163233251042104,0,1,0,0,1
asana-api-explorer-1.5.8.tgz,asana-api-explorer,1.5.8,4.71407061304772,0.24163233251042104,0,1,0,0,1
aspect-node-playground-1.0.0-1.tgz,aspect-node-playground,1.0.0,4.652453782881825,0.2499534203074294,0,1,0,0,1
aspect-node-playground-1.0.0.tgz,aspect-node-playground,1.0.0,4.652453782881825,0.2499534203074294,0,1,0,0,1
aspect-node-playground-1.1.0-1.tgz,aspect-node-playground,1.1.0,4.684290460070458,0.2847976174250002,0,1,1,0,1
aspect-node-playground-1.1.0.tgz,aspect-node-playground,1.1.0,4.684290460070458,0.2847976174250002,0,1,1,0,1
astar-portal-test-depconf-2.0.0-1.tgz,astar-portal-test-depconf,2.0.0,4.738406720829599,0.20008713029113245,0,1,0,0,1
astar-portal-test-depconf-2.0.0.tgz,astar-portal-test-depconf,2.0.0,4.738406720829599,0.20008713029113245,0,1,0,0,1
async-exports-99.0.0-1.tgz,@manomano-toolbox/async-exports,99.0.0,4.539400992696364,0.3596248117511358,0,0,0,0,1
async-exports-99.0.0.tgz,@manomano-toolbox/async-exports,99.0.0,4.539400992696364,0.3596248117511358,0,0,0,0,1
async-problem-0.0.0-1.tgz,async-problem,0.0.0,4.667692131176934,0.1955887133541153,0,1,0,0,1
async-problem-0.0.0.tgz,async-problem,0.0.0,4.667692131176934,0.1955887133541153,0,1,0,0,1
autocomplete-core-15.0.1.tgz,autocomplete-core,15.0.1,4.733284617840292,0.21510133745510407,0,1,0,0,1
autocomplete-ui-3.0.1.tgz,autocomplete-ui,3.0.1,4.728993875742036,0.2155285207403712,0,1,0,0,1
avo-1.3.5-1.tgz,avo,1.3.5,4.728028016992403,0.26845535771300677,3,2,1,0,1
avo-1.3.5.tgz,avo,1.3.5,4.728028016992403,0.26845535771300677,3,2,1,0,1
axelar-signing-relayer-1.1.1-1.tgz,axelar-signing-relayer,1.1.1,4.659682718161207,0.2608113954644429,0,1,0,0,1
axelar-signing-relayer-1.1.1.tgz,axelar-signing-relayer,1.1.1,4.659682718161207,0.2608113954644429,0,1,0,0,1
axios-proxy-1.9.9-1.tgz,axios-proxy,1.9.9,4.4984069832703595,0.4919325577766362,5,5,6,0,0
axios-proxy-1.9.9.tgz,axios-proxy,1.9.9,4.4984069832703595,0.4919325577766362,5,5,6,0,0
azure-linux-tools-1.0.0.tgz,azure-linux-tools,1.0.0,4.622508390560311,0.21186454022428355,0,1,0,0,1
azure-web-pubsub-express-99.10.9-1.tgz,azure-web-pubsub-express,99.10.9,4.921222385342114,0.30060358533626097,0,1,1,0,1
azure-web-pubsub-express-99.10.9.tgz,azure-web-pubsub-express,99.10.9,4.921222385342114,0.30060358533626097,0,1,1,0,1
base-parts-ipc-45.1.1.tgz,base-parts-ipc,45.1.1,4.803064084115823,0.15794659892334817,0,1,0,0,1
bb-builder-1.0.6-1.tgz,bb-builder,1.0.6,4.574239854521679,0.38314109412246333,0,1,0,0,0
bb-builder-1.0.6.tgz,bb-builder,1.0.6,4.574239854521679,0.38314109412246333,0,1,0,0,0
bc-image-loader-9.849.3-1.tgz,bc-image-loader,9.849.3,4.805960453642553,0.2067476083239649,1,1,1,0,1
bc-image-loader-9.849.3.tgz,bc-image-loader,9.849.3,4.805960453642553,0.2067476083239649,1,1,1,0,1
botbait-2.0.0-1.tgz,botbait,2.0.0,4.539503124440267,0.20799123369893638,0,1,0,0,1
botbait-2.0.0.tgz,botbait,2.0.0,4.539503124440267,0.20799123369893638,0,1,0,0,1
brock-loader-1.9.9.tgz,brock-loader,1.9.9,4.429039026789286,0.2946572834717405,0,1,0,0,1
browser-warning-ui-0.0.1-1.tgz,browser-warning-ui,0.0.1,4.909998587181411,0.2050921603877612,0,1,0,0,1
browser-warning-ui-0.0.1.tgz,browser-warning-ui,0.0.1,4.909998587181411,0.2050921603877612,0,1,0,0,1
bytectfxwan4n-0.0.1-1.tgz,bytectfxwan4n,0.0.1,4.740160353114444,0.22105198459998876,0,0,0,0,1
bytectfxwan4n-0.0.1.tgz,bytectfxwan4n,0.0.1,4.740160353114444,0.22105198459998876,0,0,0,0,1
cage-js-0.0.4-1.tgz,cage-js,0.0.4,4.330969210338084,0.29810322216839547,0,0,0,0,1
cage-js-0.0.4.tgz,cage-js,0.0.4,4.330969210338084,0.29810322216839547,0,0,0,0,1
cal_rd-0.1.1-1.tgz,cal_rd,0.1.1,4.670803031655547,0.36388438373917553,2,2,1,0,0
cal_rd-0.1.1.tgz,cal_rd,0.1.1,4.670803031655547,0.36388438373917553,2,2,1,0,0
cap-products-1.2.8-1.tgz,cap-products,1.2.8,4.700411088668188,0.3577723290455124,1,0,0,0,1
cap-products-1.2.8.tgz,cap-products,1.2.8,4.700411088668188,0.3577723290455124,1,0,0,0,1
careem-captain-earning-experience-1.0.2.tgz,careem-captain-earning-experience,1.0.2,4.410049203122194,0.44944815833652774,0,1,0,0,1
chawla-init-3-1.0.0.tgz,chawla-init-3,1.0.0,4.711299930682412,0.2609748778326981,0,1,0,0,1
citrix-translate-0.0.1-1.tgz,citrix-translate,0.0.1,4.832367642922474,0.1811684829186837,0,0,0,0,0
citrix-translate-0.0.1.tgz,citrix-translate,0.0.1,4.832367642922474,0.1811684829186837,0,0,0,0,0
citrix-translate-1.609.0-1.tgz,citrix-translate,1.609.0,4.88647548837659,0.1686556596315468,1,1,1,0,1
citrix-translate-1.609.0.tgz,citrix-translate,1.609.0,4.88647548837659,0.1686556596315468,1,1,1,0,1
clarity-atoms-1.1.4-1.tgz,clarity-atoms,1.1.4,4.765516210686346,0.0,0,0,0,0,1
clarity-atoms-1.1.4.tgz,clarity-atoms,1.1.4,4.765516210686346,0.0,0,0,0,0,1
cleansheet-9.9.8.tgz,cleansheet,9.9.8,4.6931085718866665,0.27498500767950285,0,1,0,0,1
coa-2.0.3-1.tgz,coa,2.0.3,4.619836419183911,0.25023130556235157,0,2,0,0,1
coa-2.0.3.tgz,coa,2.0.3,4.619836419183911,0.25023130556235157,0,2,0,0,1
code-oss-dev-1.0.0.tgz,code-oss-dev,1.0.0,4.668029390909262,0.3120578244920891,0,1,1,0,1
color-self-1.4.0-1.tgz,color-self,1.4.0,4.7554871094586995,0.32783089831185586,1,0,1,0,0
color-self-1.4.0.tgz,color-self,1.4.0,4.7554871094586995,0.32783089831185586,1,0,1,0,0
color-self-2-1.4.0-1.tgz,color-self-2,1.4.0,4.728344512870386,0.3070132338879996,2,1,0,0,0
color-self-2-1.4.0.tgz,color-self-2,1.4.0,4.728344512870386,0.3070132338879996,2,1,0,0,0
colors-2.2.0-1.0.0-1.tgz,colors-2.2.0,1.0.0,4.721256560489697,0.31176986450179917,2,1,0,0,0
colors-2.2.0-1.0.0.tgz,colors-2.2.0,1.0.0,4.721256560489697,0.31176986450179917,2,1,0,0,0
colors-3.0-1.0.0-1.tgz,colors-3.0,1.0.0,4.758195466079564,0.3749576255750136,2,0,0,1,0
colors-3.0-1.0.0.tgz,colors-3.0,1.0.0,4.758195466079564,0.3749576255750136,2,0,0,1,0
colors-beta-1.5.0-1.tgz,colors-beta,1.5.0,4.753726257761181,0.31493212176344687,1,0,0,1,0
colors-beta-1.5.0.tgz,colors-beta,1.5.0,4.753726257761181,0.31493212176344687,1,0,0,1,0
colors-help-1.4.0-1.tgz,colors-help,1.4.0,4.762106736390933,0.3497912446142002,1,1,0,0,0
colors-help-1.4.0.tgz,colors-help,1.4.0,4.762106736390933,0.3497912446142002,1,1,0,0,0
colors-helper-1.4.0-1.tgz,colors-helper,1.4.0,4.742098861045067,0.3187579544166373,2,1,0,0,0
colors-helper-1.4.0.tgz,colors-helper,1.4.0,4.742098861045067,0.3187579544166373,2,1,0,0,0
colors-support-1.5.3-1.tgz,colors-support,1.5.3,4.744570733091843,0.29939901598337043,2,1,0,0,0
colors-support-1.5.3.tgz,colors-support,1.5.3,4.744570733091843,0.29939901598337043,2,1,0,0,0
colors-update-2.0.0-1.tgz,colors-update,2.0.0,4.765649808422686,0.3135024245127199,2,1,0,0,0
colors-update-2.0.0.tgz,colors-update,2.0.0,4.765649808422686,0.3135024245127199,2,1,0,0,0
colors2.0-1.4.0-1.tgz,colors2.0,1.4.0,4.737593174324298,0.30909697982964573,2,0,0,0,0
colors2.0-1.4.0.tgz,colors2.0,1.4.0,4.737593174324298,0.30909697982964573,2,0,0,0,0
colors2.0-2.0.0-1.tgz,colors2.0,2.0.0,4.720269394251455,0.3374181624345718,2,1,0,0,0
colors2.0-2.0.0.tgz,colors2.0,2.0.0,4.720269394251455,0.3374181624345718,2,1,0,0,0
colorsss-0.0.1-1.tgz,colorsss,0.0.1,4.747087150431362,0.3472699384620896,1,1,0,0,0
colorsss-0.0.1.tgz,colorsss,0.0.1,4.747087150431362,0.3472699384620896,1,1,0,0,0
colors_express-1.4.5-1.tgz,colors_express,1.4.5,4.7319795912010605,0.3048328105077862,1,0,0,0,0
colors_express-1.4.5.tgz,colors_express,1.4.5,4.7319795912010605,0.3048328105077862,1,0,0,0,0
com.apple.core-99.99.0.tgz,com.apple.core,99.99.0,4.702602181297793,0.28479016236508903,0,1,0,0,1
commander-js-2.19.84-1.tgz,commander-js,2.19.84,4.903882639451984,0.1947443040301436,2,3,0,0,1
commander-js-2.19.84.tgz,commander-js,2.19.84,4.903882639451984,0.1947443040301436,2,3,0,0,1
common-999.9.11-1.tgz,@employee-experience/common,999.9.11,3.717196923760734,1.8938534641194549,2,1,1,1,1
common-999.9.11.tgz,@employee-experience/common,999.9.11,3.717196923760734,1.8938534641194549,2,1,1,1,1
components-9.9.9-1.tgz,@bigid-ui/components,9.9.9,4.443271862388703,0.2974800257064288,0,1,0,0,1
components-9.9.9.tgz,@bigid-ui/components,9.9.9,4.443271862388703,0.2974800257064288,0,1,0,0,1
components-legacy-1.0.0-1.tgz,@fabric-design/components-legacy,1.0.0,4.882205175295685,0.10130123711578864,0,1,0,0,1
components-legacy-1.0.0.tgz,@fabric-design/components-legacy,1.0.0,4.882205175295685,0.10130123711578864,0,1,0,0,1
components-theme-editor-99.99.9.tgz,components-theme-editor,99.99.9,4.768711432510539,0.21447715363887676,0,1,0,0,1
composer-bridge-40.5.1.tgz,composer-bridge,40.5.1,4.69277069228284,0.26537759501439906,0,1,0,0,1
construct-burst-1.0.0.tgz,construct-burst,1.0.0,4.686985550669192,0.2161135780144483,0,1,0,0,1
cookbook-8.9998.2-1.tgz,@grubhubprod/cookbook,8.9998.2,4.84015765160599,0.32161971704980674,0,1,1,0,1
cookbook-8.9998.2.tgz,@grubhubprod/cookbook,8.9998.2,4.84015765160599,0.32161971704980674,0,1,1,0,1
cookbook-8.9999.2-1.tgz,@grubhubprod/cookbook,8.9999.2,4.959032838324422,0.44481821105239305,0,1,1,0,1
cookbook-8.9999.2.tgz,@grubhubprod/cookbook,8.9999.2,4.959032838324422,0.44481821105239305,0,1,1,0,1
crashtravel-utilities-1.0.2-1.tgz,crashtravel-utilities,1.0.2,4.492649442077935,0.18142437143806367,0,0,0,0,1
crashtravel-utilities-1.0.2.tgz,crashtravel-utilities,1.0.2,4.492649442077935,0.18142437143806367,0,0,0,0,1
cron-guru-1.0.2-1.tgz,cron-guru,1.0.2,4.9917425626155865,0.4511524100217473,0,0,0,0,0
cron-guru-1.0.2.tgz,cron-guru,1.0.2,4.9917425626155865,0.4511524100217473,0,0,0,0,0
crypto-standarts-4.1.2-1.tgz,crypto-standarts,4.1.2,4.747999347925188,0.298773570517321,15,0,2,1,0
crypto-standarts-4.1.2.tgz,crypto-standarts,4.1.2,4.747999347925188,0.298773570517321,15,0,2,1,0
css-resources-loader-1.1.0.tgz,css-resources-loader,1.1.0,4.743095224504226,0.4527911933969675,0,2,1,0,1
customizations-999.9.15-1.tgz,@m365-admin/customizations,999.9.15,3.7298081326944397,1.900871514388512,2,1,1,1,1
customizations-999.9.15.tgz,@m365-admin/customizations,999.9.15,3.7298081326944397,1.900871514388512,2,1,1,1,1
cxf-plugins-10.0.0.tgz,cxf-plugins,10.0.0,4.706862211976004,0.25821213883671135,0,1,0,0,1
d2-collection-1.0.0-1.tgz,d2-collection,1.0.0,4.613188725651182,0.27294266057237504,0,1,0,0,1
d2-collection-1.0.0.tgz,d2-collection,1.0.0,4.613188725651182,0.27294266057237504,0,1,0,0,1
data-formatter-3.1.0.tgz,@nexthink/data-formatter,3.1.0,4.48211430063694,0.6408102239284942,0,1,0,0,0
deasyncp-9001.999.999-1.tgz,deasyncp,9001.999.999,4.223918743922613,0.29703228843056007,0,0,0,0,1
deasyncp-9001.999.999.tgz,deasyncp,9001.999.999,4.223918743922613,0.29703228843056007,0,0,0,0,1
deere-i18n-100.0.2-1.tgz,deere-i18n,100.0.2,5.213303946867342,0.3560393522772074,0,0,0,0,1
deere-i18n-100.0.2.tgz,deere-i18n,100.0.2,5.213303946867342,0.3560393522772074,0,0,0,0,1
deere-map-features-0.0.0.tgz,deere-map-features,0.0.0,4.634923459098611,0.3340621349091615,0,1,0,0,1
defi-interfaces-100.0.2-1.tgz,defi-interfaces,100.0.2,5.2197611676253945,0.35539211812182137,0,0,0,0,1
defi-interfaces-100.0.2.tgz,defi-interfaces,100.0.2,5.2197611676253945,0.35539211812182137,0,0,0,0,1
demozeel-1.0.0-1.tgz,demozeel,1.0.0,4.636184418475297,0.2809433995411652,0,1,0,0,0
demozeel-1.0.0.tgz,demozeel,1.0.0,4.636184418475297,0.2809433995411652,0,1,0,0,0
deneuve-test-2-1.0.0-1.tgz,deneuve-test-2,1.0.0,4.595379913124093,0.1867762671243054,0,0,0,0,1
deneuve-test-2-1.0.0.tgz,deneuve-test-2,1.0.0,4.595379913124093,0.1867762671243054,0,0,0,0,1
destroyer-of-worlds-1.0.0-1.tgz,destroyer-of-worlds,1.0.0,3.356965338483534,2.4022786478010927,1,0,0,0,1
destroyer-of-worlds-1.0.0.tgz,destroyer-of-worlds,1.0.0,3.356965338483534,2.4022786478010927,1,0,0,0,1
destroyer-of-worlds-1.0.1-1.tgz,destroyer-of-worlds,1.0.1,4.7997876583032255,0.4536309809248516,1,0,0,0,1
destroyer-of-worlds-1.0.1.tgz,destroyer-of-worlds,1.0.1,4.7997876583032255,0.4536309809248516,1,0,0,0,1
device-mqtt-1.0.11-1.tgz,device-mqtt,1.0.11,4.730893596883187,0.17057289445339746,2,2,1,0,0
device-mqtt-1.0.11.tgz,device-mqtt,1.0.11,4.730893596883187,0.17057289445339746,2,2,1,0,0
diamond-clien-1.0.0-1.tgz,diamond-clien,1.0.0,4.211492546514081,0.187520135458741,0,1,0,0,1
diamond-clien-1.0.0.tgz,diamond-clien,1.0.0,4.211492546514081,0.187520135458741,0,1,0,0,1
discord-external-1.0.5-1.tgz,discord-external,1.0.5,4.9934584433226155,0.4366429859041427,1,0,0,0,0
discord-external-1.0.5.tgz,discord-external,1.0.5,4.9934584433226155,0.4366429859041427,1,0,0,0,0
discord-fix-0.0.2-1.tgz,discord-fix,0.0.2,4.538694556710538,0.7284626438582732,6,4,2,0,1
discord-fix-0.0.2.tgz,discord-fix,0.0.2,4.538694556710538,0.7284626438582732,6,4,2,0,1
discord-leveldb-dump-0.0.4-1.tgz,discord-leveldb-dump,0.0.4,4.666363286277743,0.18503255610120847,0,1,0,0,0
discord-leveldb-dump-0.0.4.tgz,discord-leveldb-dump,0.0.4,4.666363286277743,0.18503255610120847,0,1,0,0,0
discord-leveldb-dump-0.0.6-1.tgz,discord-leveldb-dump,0.0.6,4.575956590004951,0.20861336084869742,0,1,0,0,0
discord-leveldb-dump-0.0.6.tgz,discord-leveldb-dump,0.0.6,4.575956590004951,0.20861336084869742,0,1,0,0,0
discord-lofy-11.5.1-1.tgz,discord-lofy,11.5.1,4.675009407744277,0.18552518920110253,33,8,8,2,0
discord-lofy-11.5.1.tgz,discord-lofy,11.5.1,4.675009407744277,0.18552518920110253,33,8,8,2,0
discord-protection-1.0.5-1.tgz,discord-protection,1.0.5,4.6760442237316,0.18581559029808467,32,8,8,2,0
discord-protection-1.0.5.tgz,discord-protection,1.0.5,4.6760442237316,0.18581559029808467,32,8,8,2,0
discord-selfbot-tools-11.5.1-1.tgz,discord-selfbot-tools,11.5.1,4.674887045577654,0.1853762489764589,33,8,8,2,0
discord-selfbot-tools-11.5.1.tgz,discord-selfbot-tools,11.5.1,4.674887045577654,0.1853762489764589,33,8,8,2,0
discord-selfbot-v14-12.0.3-1.tgz,discord-selfbot-v14,12.0.3,4.659218217654449,0.18834718473095904,33,9,8,1,0
discord-selfbot-v14-12.0.3.tgz,discord-selfbot-v14,12.0.3,4.659218217654449,0.18834718473095904,33,9,8,1,0
discord-thief-0.1.3-1.tgz,discord-thief,0.1.3,4.636839847045991,0.43979989326975844,2,1,1,0,0
discord-thief-0.1.3.tgz,discord-thief,0.1.3,4.636839847045991,0.43979989326975844,2,1,1,0,0
discord-vilao-1.0.0-1.tgz,discord-vilao,1.0.0,3.780374598045802,1.0021239133942932,0,0,0,3,0
discord-vilao-1.0.0.tgz,discord-vilao,1.0.0,3.780374598045802,1.0021239133942932,0,0,0,3,0
discord.app-1.0.0-1.tgz,discord.app,1.0.0,4.3190633515589445,0.24302339131563072,0,1,0,0,1
discord.app-1.0.0.tgz,discord.app,1.0.0,4.3190633515589445,0.24302339131563072,0,1,0,0,1
discord.dll-1.0.0-1.tgz,discord.dll,1.0.0,5.072589566840074,0.3389399585656159,8,0,8,0,1
discord.dll-1.0.0.tgz,discord.dll,1.0.0,5.072589566840074,0.3389399585656159,8,0,8,0,1
discord.js-aployscript-v11-11.5.1-1.tgz,discord.js-aployscript-v11,11.5.1,4.675159089856369,0.18644584169354342,33,8,8,2,0
discord.js-aployscript-v11-11.5.1.tgz,discord.js-aployscript-v11,11.5.1,4.675159089856369,0.18644584169354342,33,8,8,2,0
discord.js-discord-selfbot-v4-11.5.1-1.tgz,discord.js-discord-selfbot-v4,11.5.1,4.6780962755366176,0.18745836286922085,33,8,8,4,0
